Bezeichnung,Lieferant,Kategorie (CPV Hauptteil),Bieter,Summe,Aktualisiert
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",19.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,4.0,"1,00",13.07.2024
Beratungsleistungen hinsichtlich umfassender Prozessverbesserung im operativen Sinn,OPPIDA GmbH,79410000 Unternehmens- und Managementberatung,2.0,"145.728,00",13.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"732.076,74",13.07.2024
Rahmenvereinbarung Multimedia Service,PANATRONIC Gesellschaft m.b.H,32322000 Multimediaausrüstung,0.0,"74.621,50",12.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",12.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",10.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"59.574,00",04.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.07.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"88.000,00",04.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",03.07.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"118.800,00",03.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",03.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",03.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.07.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",01.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.07.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"246.127,40",01.07.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",01.07.2024
Leistungsvertrag,SCHUHFRIED GmbH GmbH,48900000 Diverse Softwarepakete und Computersysteme,1.0,"192.908,21",26.06.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"92.201,16",26.06.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",25.06.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"305.353,37",24.06.2024
Abruf aus Rahmenvereinbarung: App Prototyping UX Frontend,"Sclable Business Solutions GmbH, Zentrale",72200000 Softwareprogrammierung und -beratung,4.0,"387.000,00",21.06.2024
Abruf aus Rahmenvereinbarung: Aris & WebMethods Dienstleistungen,"Software GmbH Österreich, Zentrale","72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"144.000,00",21.06.2024
Wartung für VirtualQ 2024/2025,CANCOM Austria AG  Vertrieb,72267000 Software-Wartung und -Reparatur,1.0,"81.643,92",19.06.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.06.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.06.2024
IT Dienstleistungen - System Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",18.06.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.06.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.06.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.06.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",14.06.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"59.574,00",14.06.2024
Citrix & Ivanti - Lizenzen und Dienstleistungen - Citrix/Ivanti - Lizenzen und DL,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",14.06.2024
Rahmenvereinbarung im Bereich betriebswirtschaftliche Beratungsleistungen,Rahmenvereinbarung mit mehreren Unternehmen,79410000 Unternehmens- und Managementberatung,0.0,"1,00",13.06.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.06.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.06.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.06.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.06.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.06.2024
Virtuelle Beschaffungsassistenz,System-Software CONSULT/R,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"294.000,00",11.06.2024
IT Dienstleistungen - System Design,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",11.06.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",11.06.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"54.000,00",04.06.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",04.06.2024
Beratungsleistungen für agile Transformation,Rahmenvereinbarung mit mehreren Unternehmen,79411000 Allgemeine Managementberatung,2.0,"1,00",03.06.2024
Abruf aus Rahmenvereinbarung,Orianda Solutions AG,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"132.375,00",30.05.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"1,00",30.05.2024
Abruf aus Rahmenvereinbarung,MICROSOFT Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"2.400.000,00",28.05.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",23.05.2024
"Führungskräfteprogramm ""Prepare to Lead""",Norbert Kern Einpersonenunternehmen,80511000 Ausbildung des Personals,10.0,"273.350,00",22.05.2024
Server HW Wartung Altsysteme - Server HW Wartung Altsysteme,EDV - Design Informationstechnologie GmbH EDV - Design Informationstechnologie GmbH,72514000 Verwaltung von Computeranlagen,1.0,"600.330,00",21.05.2024
Security Information and Event Management - SIEM (Splunk),Bacher Systems EDV GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"50.018,04",14.05.2024
Security Information and Event Management - SIEM (Splunk),Bacher Systems EDV GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"50.018,04",14.05.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",07.05.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",30.04.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",30.04.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",30.04.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",30.04.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",30.04.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"117.600,00",30.04.2024
DIEP Laborumgebung 01.05.2024 - 30.11.2024,SAP Österreich GmbH Zentrale,72260000 Dienstleistungen in Verbindung mit Software,1.0,"154.717,47",29.04.2024
Abruf aus Rahmenvereinbarung,SoftwareONE Österreich GmbH,48000000 Softwarepaket und Informationssysteme,1.0,"66.240,00",29.04.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.04.2024
Systemtech. Erfassung von Wartungsleistungen für SAP Systeme/Lizenzen 2024 bestehender Applikationen - Systemtech. Erfassung von Wartungsleistungen für SAP Systeme/Lizenzen 2024 bestehender Applikationen,SAP Österreich GmbH Zentrale,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",1.0,"3.400.000,00",25.04.2024
Beratungsleistungen für agile Transformation,Rahmenvereinbarung mit mehreren Unternehmern,79411000 Allgemeine Managementberatung,2.0,"1,00",23.04.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",22.04.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",22.04.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",22.04.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",19.04.2024
Beratungsleistung zur Spezifikation und technischen Vergabebegleitung von Bekleidung,Manfred Koppenhauser,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,0.0,"56.810,00",19.04.2024
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",19.04.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",18.04.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",18.04.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.04.2024
Virtuelle Beschaffungsassistenz,System-Software CONSULT/R,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"389.032,00",17.04.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",17.04.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",16.04.2024
Abruf aus AKÜ-Verträgen,Rahmenvereinbarung mit mehreren Unternehmen,79620000 Überlassung von Personal einschließlich Zeitarbeitskräfte,0.0,"1,00",11.04.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",11.04.2024
Virtuelle Beschaffungsassistenz,System-Software CONSULT/R,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"718.132,00",10.04.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2024
IT Dienstleistungen - Enterprise Architektur,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,10.0,"1,00",04.04.2024
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.04.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.04.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2024
IT Dienstleistungen - Development Mobile,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",04.04.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",04.04.2024
Laboruntersuchungen ÖBB Bahnbistros,Eurofins Lebensmittelanalytik Österreich GmbH Inspektionsstelle,85111820 Bakteriologische Untersuchungen,2.0,"128.100,75",03.04.2024
Abrufbestellung aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",02.04.2024
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",02.04.2024
IT Dienstleistungen - Development Web,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.03.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",29.03.2024
IT Dienstleistungen - DevOps,Rahmenvereinbarung mit mehreren Unternehmen,72200000 Softwareprogrammierung und -beratung,0.0,"1,00",29.03.2024
Abruf aus Rahmenvereinbarung,DIVCON Consulting GmbH,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"88.500,00",29.03.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",27.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",27.03.2024
Abruf aus Rahmenvereinbarung,Rahmenvereinbarung mit mehreren Unternehmen,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"1,00",27.03.2024
Abruf aus AKÜ-Verträgen,Rahmenvereinbarung mit mehreren Unternehmen,79620000 Überlassung von Personal einschließlich Zeitarbeitskräfte,0.0,"1,00",27.03.2024
Hitrail Hermes VPN,HIT RAIL B.V.,72400000 Internetdienste,0.0,"201.980,00",27.03.2024
Virtuelle Beschaffungsassistenz,System-Software CONSULT/R,"72000000 IT-Dienste: Beratung, Software-Entwicklung, Internet und Hilfestellung",0.0,"226.960,00",27.03.2024
ESG Upskilling Schulungen,PwC Advisory Services GmbH PwC Advisor Services GmbH,80532000 Managementausbildung,1.0,"87.615,00",25.03.2024
Standardisierte Erhebung Frauenanteile & Karriereförderung,Rahmenvereinbarung mit mehreren Unternehmern,79400000 Unternehmens- und Managementberatung und zugehörige Dienste,1.0,"1,00",21.03.2024
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"70.488,00",21.03.2024
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"75.294,00",21.03.2024
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"64.080,00",21.03.2024
Rahmenvereinbarung für IT-Arbeitsplatz (DIMACS),ACP TechRent GmbH,30214000 Arbeitsplätze,0.0,"810.094,70",20.03.2024
"Dienstleistungen für Implementierung, Beratung u. laufende Unterstützung für SAP SuccessFactors HXM",Deloitte Consulting GmbH,72227000 Beratung im Bereich Software-Integration,0.0,"187.797,50",20.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.03.2024
IT Dienstleistungen - Testing und Quality Assurance,Rahmenvereinbarung mit mehreren Unternehmen,72220000 Systemberatung und technische Beratung,0.0,"1,00",19.03.2024
